#,Ruta Archivo,Resumen,CUIL Detectado,Error de Lectura
1,C:\Users\wbenitez\Downloads\Digitalizacion_jubilaciones\E-004168-2025\E-004168-2025.pdf,"Carátula=True, Formulario=True, Renaper=False, FotosDNI=True. Obs: ['No se encontró Informe Renaper.']",NO DETECTADO,✅
2,C:\Users\wbenitez\Downloads\Digitalizacion_jubilaciones\E-007548-2025\E-007548-2025.pdf,"Carátula=True, Formulario=True, Renaper=False, FotosDNI=True. Obs: ['No se encontró Informe Renaper.']",NO DETECTADO,✅
3,C:\Users\wbenitez\Downloads\Digitalizacion_jubilaciones\E-007565-2025\E-007565-2025.pdf,"Carátula=True, Formulario=True, Renaper=False, FotosDNI=True. Obs: ['No se encontró Informe Renaper.']",NO DETECTADO,✅
4,C:\Users\wbenitez\Downloads\Digitalizacion_jubilaciones\E-007573-2025\E-007573-2025.pdf,"Carátula=True, Formulario=True, Renaper=False, FotosDNI=True. Obs: ['No se encontró Informe Renaper.']",NO DETECTADO,✅
5,C:\Users\wbenitez\Downloads\Digitalizacion_jubilaciones\E-007583-2025\E-007583-2025.pdf,"Carátula=True, Formulario=True, Renaper=False, FotosDNI=True. Obs: ['No se encontró Informe Renaper.']",NO DETECTADO,✅
6,C:\Users\wbenitez\Downloads\Digitalizacion_jubilaciones\E-007584-2025\E-007584-2025.pdf,"Carátula=True, Formulario=True, Renaper=False, FotosDNI=True. Obs: ['No se encontró Informe Renaper.']",NO DETECTADO,✅
7,C:\Users\wbenitez\Downloads\Digitalizacion_jubilaciones\E-007724-2025\E-007724-2025.pdf,"Carátula=True, Formulario=True, Renaper=False, FotosDNI=True. Obs: ['No se encontró Informe Renaper.']",NO DETECTADO,✅
8,C:\Users\wbenitez\Downloads\Digitalizacion_jubilaciones\E-007725-2025\E-007725-2025.pdf,"Carátula=True, Formulario=True, Renaper=False, FotosDNI=True. Obs: ['No se encontró Informe Renaper.']",NO DETECTADO,✅
9,C:\Users\wbenitez\Downloads\Digitalizacion_jubilaciones\E-007752-2025\E-007752-2025.pdf,"Carátula=True, Formulario=True, Renaper=False, FotosDNI=True. Obs: ['No se encontró Informe Renaper.']",NO DETECTADO,✅
10,C:\Users\wbenitez\Downloads\Digitalizacion_jubilaciones\E-007771-2025\E-007771-2025.pdf,"Carátula=True, Formulario=True, Renaper=False, FotosDNI=True. Obs: ['No se encontró Informe Renaper.']",NO DETECTADO,✅
11,C:\Users\wbenitez\Downloads\Digitalizacion_jubilaciones\E-007778-2025\E-007778-2025.pdf,"Carátula=True, Formulario=True, Renaper=False, FotosDNI=True. Obs: ['No se encontró Informe Renaper.']",NO DETECTADO,✅
12,C:\Users\wbenitez\Downloads\Digitalizacion_jubilaciones\E-007875-2025\E-007875-2025.pdf,"Carátula=True, Formulario=True, Renaper=False, FotosDNI=True. Obs: ['No se encontró Informe Renaper.']",NO DETECTADO,✅
13,C:\Users\wbenitez\Downloads\Digitalizacion_jubilaciones\E-007971-2025\E-007971-2025.pdf,"Carátula=True, Formulario=True, Renaper=False, FotosDNI=True. Obs: ['No se encontró Informe Renaper.']",NO DETECTADO,✅
14,C:\Users\wbenitez\Downloads\Digitalizacion_jubilaciones\E-007973-2025\E-007973-2025.pdf,"Carátula=True, Formulario=True, Renaper=False, FotosDNI=True. Obs: ['No se encontró Informe Renaper.']",NO DETECTADO,✅
